A06	105805381	106005529	qFD
D03	38397499	38804331	qFD
D03	38397499	38804331	qWGP
D03	36922880	36986968	qFD
D03	22891133	23091007	qFD
D10	64459664	64659866	qFD
D10	65204651	65300007	qFD
A04	4019365	4220730	qLI
A08	40557753	40718468	qLI
A02	14760611	14978798	qLP
A03	18875528	19075565	qLP
A08	41360347	41553157	qLP
A11	79133380	79937215	qLP
D09	40366395	40566500	qLP
D10	36751838	36952233	qLP
D10	65294407	65365875	qPH
D07	19428719	19688173	qSCI
D08	44011253	44211788	qSCI
D08	31407950	31608049	qSCI
D11	50673393	50873425	qSCI
D01	63102400	63302531	qWGP
D13	566421	745013	qWGP
D03	21437036	21637202	qYPBF
