A10	80394836	80594960	qBW
A10	96436692	96636769	qBW
D05	48302001	48502076	qBW
D08	31805934	32005941	qBW
D08	41956815	42156906	qBW
D08	44866858	45067314	qBW
D11	50222805	50423004	qBW
A02	1111636	1311876	qFD
A04	86272866	86472938	qFD
A06	105805381	106005529	qFD
A07	8929539	9129633	qFD
A08	13131205	13331321	qFD
A10	2453427	2653617	qFD
A10	70162352	70253936	qFD
D01	61533125	61733358	qFD
D03	13344664	13544756	qFD
D03	22891133	23091007	qFD
D03	35346235	35536877	qFD
D03	36922880	36986968	qFD
D03	38397499	38804331	qFD
D08	1237027	1437168	qFD
D10	64459085	64659866	qFD
D10	65204651	65300007	qFD
D11	51000326	51230074	qFD
D12	31746247	31986952	qFD
A01	109350277	109715094	qFE
A01	110378177	110760887	qFE
A01	114931747	115542125	qFE
A02	98031542	98191267	qFE
A03	106025446	106409987	qFE
A05	9907571	10108040	qFE
A06	6123821	6324084	qFE
A06	6668069	7689409	qFE
A07	90577065	91292915	qFE
A07	95559242	95761199	qFE
A08	15469066	16029693	qFE
A08	87145196	87145373	qFE
A08	120224343	121222374	qFE
A09	8596081	9597109	qFE
A09	21923260	22123446	qFE
A09	77947164	78147212	qFE
A10	16874279	16974191	qFE
A11	9459521	10465185	qFE
A11	100480094	100680265	qFE
A12	716875	1026253	qFE
A12	2833209	2944537	qFE
A12	92934006	93083459	qFE
A13	5876321	6010465	qFE
A13	12805478	13228615	qFE
A13	102175542	102542337	qFE
A13	107018116	107049450	qFE
D01	3382395	3801724	qFE
D02	823378	1020731	qFE
D02	1045183	1368456	qFE
D03	1337032	1537163	qFE
D04	3579070	4868616	qFE
D04	49901033	50896723	qFE
D05	27181121	27234255	qFE
D05	32149395	32345347	qFE
D05	32955504	33068189	qFE
D05	33691868	35462675	qFE
D05	36143453	37137461	qFE
D05	37725552	39640404	qFE
D05	40183736	40458464	qFE
D05	44991274	47309854	qFE
D05	47760213	52063414	qFE
D05	52507452	52626761	qFE
D05	53347219	55500419	qFE
D05	55998501	56515631	qFE
